All,सभी
"Please add invitees.","कृपया निमंत्रण जोड़ें।"
"You cannot send emails to more than %1 recipients at once","आप एक बार में %1 से अधिक प्राप्तकर्ताओं को ईमेल नहीं भेज सकते हैं"
"Please enter a valid invitee email address.","कृपया एक मान्य आमंत्रण ईमेल पता दर्ज करें।"
"Please enter an invitee name.","कृपया एक आमंत्रित नाम दर्ज करें।"
"You shared the gift registry for %1 emails.","आपने %1 ईमेल के लिए उपहार रजिस्ट्री को साझा किया।"
"We couldn't share the registry.","हम रजिस्ट्री साझा नहीं कर सके।"
Private,निजी
Inactive,निष्क्रिय
Active,सक्रिय
"Please enter the title.","कृपया शीर्षक दर्ज करें।"
"Please enter the message.","कृपया संदेश दर्ज करें।"
"Please enter correct the Privacy setting.","कृपया गोपनीयता सेटिंग सही दर्ज करें।"
"We cannot specify the product.","हम उत्पाद निर्दिष्ट नहीं कर सकते।"
"The quantity of ""%1"" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2.","कार्ट में जोड़े गए ""%1"" उत्पाद की मात्रा उपहार रजिस्ट्री के मालिक द्वारा वांछित मात्रा से अधिक है। जोड़ी गई मात्रा को शेष मात्रा %2 को पूरा करने के लिए समायोजित किया गया है।"
"Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested.","कार्ट में ""%1"" उत्पाद की मौजूदा मात्रा को केवल अनुरोध किए गए मात्रा %2 के साथ बदल दिया गया है।"
"This product(s) is out of stock.","यह उत्पाद स्टॉक से बाहर है।"
"Please correct the product for adding the item to the quote.","कृपया आइटम को उद्धरण में जोड़ने के लिए उत्पाद को सही करें।"
"Please correct the item option format.","कृपया आइटम विकल्प प्रारूप को सही करें।"
"An item option with code %1 already exists.","कोड %1 के साथ एक आइटम विकल्प पहले से मौजूद है।"
New,नया
"Please enter the first name.","कृपया पहला नाम दर्ज करें।"
"Please enter the last name.","कृपया अंतिम नाम दर्ज करें।"
"Please enter a valid email address(for example, daniel@x.com).","कृपया एक मान्य ईमेल पता दर्ज करें (उदाहरण के लिए, daniel@x.com)।"
"Ship to the recipient's address.","प्राप्तकर्ता के पते पर शिप करें।"
"-- All --","-- सब --"
"Unknown gift registry identifier","अज्ञात उपहार रजिस्ट्री पहचानकर्ता"
"All Forms","सभी अवस्थाएं"
"Registrant Name Search","कुलसचिव का नाम"
"Registrant Email Search","कुलसचिव ईमेल खोज"
"Gift Registry ID Search","उपहार रजिस्ट्री आईडी खोज"
Owner,मालिक
"Created on","को निर्मित"
"Shopping Cart Items","शॉपिंग कार्ट आइटम"
"Attribute Group","गुण समूह"
"Is Required","आवश्यक है"
"Is Searcheable","खोज योग्य है"
"We found an attribute with this static input type already in the gift registry type. Please select a different input type.","हमें इस स्थिर इनपुट प्रकार के साथ एक विशेषता पहले से ही उपहार रजिस्ट्री प्रकार में मिली। कृपया एक अलग इनपुट प्रकार चुनें।"
"Show Region","क्षेत्र दिखाएँ"
"Date Format","डेटा प्रारूप"
"Select a shipping address from your address book or enter a new address.","अपनी पता पुस्तिका से शिपिंग पते का चयन करें या एक नया पता दर्ज करें।"
"Street Address","गली का पता"
"Street Address %1","सड़क पता %1"
City,Faridabad
"Please select a region, state or province.","कृपया एक क्षेत्र, राज्य या प्रांत चुनें।"
"Zip/Postal Code","ज़िप / पोस्टल कोड"
"Phone Number","फ़ोन नंबर"
Fax,फैक्स
"Add All To Gift Registry","सभी उपहार रजिस्ट्री में जोड़ें"
"Ship to registrant's address","रजिस्ट्रार के पते पर जहाज"
"Use the gift registry shipping address","उपहार रजिस्ट्री शिपिंग पते का उपयोग करें"
"Added On","पर जोड़ा"
"Qty Fulfilled","मात्रा पूरी हुई"
"Update Gift Registry","उपहार रजिस्ट्री अद्यतन करें"
"This gift registry has no items.","इस उपहार रजिस्ट्री में कोई आइटम नहीं है।"
"Created On","को निर्मित"
"Manage Items","आइटम प्रबंधित करें"
Share,शेयर
"You haven't created a gift registry yet.","आपने अभी तक उपहार रजिस्ट्री नहीं बनाई है।"
Remove,हटाना
"First Name","पहला नाम"
Sender,प्रेषक
Invitee,"निमंत्रण पत्र"
"Maximum %1 email addresses.","अधिकतम %1 ईमेल पते।"
"Add Invitee","Invitee जोड़ें"
"Gift Registry Type","उपहार रजिस्ट्री प्रकार"
"Please select a gift registry type.","कृपया उपहार रजिस्ट्री प्रकार चुनें।"
Next,आगे
"Last Name",उपनाम
"Registrant Information","रजिस्ट्रार सूचना"
"Maximum %1 registrants.","अधिकतम %1 कुलसचिव।"
"Add Registrant","कुलसचिव जोड़ें"
Type:,प्रकार:
"Privacy Settings","गोपनीय सेटिंग"
"Gift Registry Items Updated","उपहार रजिस्ट्री आइटम अद्यतन"
"Requested Quantity","आवश्यक मात्रा"
"Fulfilled Quantity","भरी हुई मात्रा"
"Total Fulfilled Quantity","कुल भरा हुआ मात्रा"
"Remaining Quantity","शेष मात्रा"
Quantity:,मात्रा:
"Customize and Add to Gift Registry","अनुकूलित करें और उपहार रजिस्ट्री में जोड़ें"
"This won't take long . . .","इसमें लंबा समय नहीं लगेगा। । ।"
"Required Fields","आवश्यक फील्ड्स"
"Search Options","खोज विकल्प"
"For better search results, first choose a gift registry type. By default, we search all registry types.","बेहतर खोज परिणामों के लिए, पहले एक उपहार रजिस्ट्री प्रकार चुनें। डिफ़ॉल्ट रूप से, हम सभी रजिस्ट्री प्रकारों को खोजते हैं।"
"Type Specific Options","विशिष्ट विकल्प टाइप करें"
"Registrant Email","रजिस्ट्रार ईमेल"
"Gift Registry ID","उपहार रजिस्ट्री आईडी"
"Search Results","खोज परिणाम"
Location,स्थान
Actions,क्रिया
"Your search returned no results.","आपकी खोज का कोई परिणाम नहीं निकला।"
"Please enter at least two letters of the name.","कृपया नाम के कम से कम दो अक्षर दर्ज करें।"
"Search By","द्वारा खोज"
"Please enter at least two letters.","कृपया कम से कम दो अक्षर दर्ज करें।"
"Unit Price","यूनिट मूल्य"
"Gift Registry created at %store_name","%store_name पर उपहार रजिस्ट्री बनाई गई"
"You have successfully created the new gift registry ""%registry_name"".","आपने सफलतापूर्वक नया उपहार रजिस्ट्री ""%registry_name"" बनाया है।"
"Now you can add products to your gift registry.","अब आप अपनी उपहार रजिस्ट्री में उत्पादों को जोड़ सकते हैं।"
"Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list.","बस <a href=""%store_url"">%store_name</a> पर ब्राउज़ करें और अपने खरीदारी कार्ट या इच्छा सूची में उन उत्पादों को जोड़ें।"
"You can then add the products to your registry from your shopping cart or wish list page.","फिर आप अपनी खरीदारी कार्ट या इच्छा सूची पृष्ठ से उत्पादों को अपनी रजिस्ट्री में जोड़ सकते हैं।"
"You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.","आप इसे अपने दोस्तों और परिवार के साथ अपने खाते में लॉग इन करके और उपहार रजिस्ट्री टैब पर जाकर भी साझा कर सकते हैं।"
"Or you can email the following link and gift registry ID to them:","या आप निम्नलिखित लिंक और उपहार रजिस्ट्री आईडी उन्हें ईमेल कर सकते हैं:"
"Registry Location:","रजिस्ट्री स्थान:"
"Registry ID:","रजिस्ट्री आईडी:"
"Gift Registry shared at %store_name","गिफ्ट रजिस्ट्री को %store_name पर साझा किया गया"
"You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.","आप <a href='%account_url'>%store_name</a> पर इस उपहार रजिस्ट्री से आइटम देख और खरीद सकते हैं।"
"Gift Registry:","उपहार रजिस्ट्री:"
"Created For:","के लिए बनाया गया:"
"You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.","आप <a href='%account_url'>%store_name</a> पर अपनी स्वयं की उपहार रजिस्ट्री बना सकते हैं और इसे मित्रों और परिवार के साथ साझा कर सकते हैं।"
"Gift Registry updated at %store_name","%store_name पर उपहार रजिस्ट्री अपडेट की गई"
"The following items have been purchased from your gift registry ""%registry_name"":","निम्नलिखित आइटम आपकी उपहार रजिस्ट्री ""%registry_name"" से खरीदे गए हैं:"
"You can sign in to your account to view more details about this gift registry.","इस उपहार रजिस्ट्री के बारे में अधिक जानकारी देखने के लिए आप अपने खाते में साइन इन कर सकते हैं।"
"Ship to Recipient Address","जहाज को प्राप्तकर्ता पते पर"
"Ship Here","यहाँ जहाज"
"Recipient Address","प्राप्तकर्ता का पता"
"Use gift registry shipping address","उपहार रजिस्ट्री शिपिंग पते का उपयोग करें"
"The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart.","उपहार रजिस्ट्री आइटमों की संख्या को बदलने का एकमात्र स्थान उपहार रजिस्ट्री जानकारी पृष्ठ पर या सीधे आपके कार्ट में है।"
"Gift Registry Details","उपहार रजिस्ट्री विवरण"
"Event Data","इवेंट डेटा"
"Event Information","घटना की जानकारी"
"Event Country","घटना देश"
"My event special","मेरा कार्यक्रम विशेष"
"My special attribute","मेरा विशेष गुण"
"Gift Registry Section","उपहार रजिस्ट्री अनुभाग"
"General Options","आम विकल्प"
"Enable Gift Registry","उपहार रजिस्ट्री सक्षम करें"
"Maximum Registrants","अधिकतम रजिस्ट्रार"
"Owner Notification","स्वामी अधिसूचना"
"Email Template","ईमेल टेम्पलेट"
"Email Sender","ईमेल भेजने वाला"
"Gift Registry Sharing","गिफ्ट रजिस्ट्री शेयरिंग"
"Maximum Sent Emails Threshold","अधिकतम भेजे गए थ्रेसहोल्ड"
"Gift Registry Update","उपहार रजिस्ट्री अद्यतन"
Select,"चुनते हैं"
"Event Region Id","घटना क्षेत्र आईडी"
"Event Region Text","इवेंट रीजन टेक्स्ट"
"Event Location","घटना स्थान"
"Gift Registry Quick Search Form","उपहार रजिस्ट्री त्वरित खोज फ़ॉर्म"
"Quick Search Form Types","त्वरित खोज प्रपत्र प्रकार"
"Default Template","पूर्व उपस्थित नमूना"
Listed,सूचीबद्ध
"Conversion Color","रूपांतरण रंग"
"""model"" value should be specified","""मॉडल"" मान निर्दिष्ट किया जाना चाहिए"
"Attribute Set","विशेषता सेट"
AttributeSetText,"विशेषता सेट पाठ"
StatusText,"स्थिति पाठ"
Filter,फ़िल्टर
"Update by Schedule","अनुसूची द्वारा अद्यतन"
"State for the same view","समान दृश्य के लिए स्थिति"
"Now Shopping by","अब तक खरीदारी"
Archive,"संग्रह "
"On Gesture","इशारे पर"
"My Wish Lists","मेरी इच्छा सूचियों"
"1 item in wish list","< div class = ""notranslate"" > 0 काश सूची में </div> आइटम"
"%1 items in wish list","< div class = ""notranslate"" > 0 काश सूची में </div> आइटम"
"%1's Wish List","%1की इच्छा सूची"
"Copy to Wish List","प्रतीक्षा सूची में जोड़ें"
"Move Selected to Wish List","इच्छित सूची में चयनित ले जाएं"
"Copy Selected to Wish List","इच्छित सूची में चयनित ले जाएं"
"Successful Messages Lifetime","सफल संदेश जीवनभर"
discount,छूट
"No such public catalog entity","ऐसा कोई सार्वजनिक कैटलॉग एंटिटी नहीं"
"Shared Catalog (or Customer Group)","साझा कैटलॉग (या ग्राहक समूह)"
General,सामान्य
Cron,क्रॉन
"Enable Cron","क्रॉन सक्षम करें"
"Queue Information","केही जानकारी"
"Duplicate Row #%1 (duplicates row #%2)","डुप्लिकेट पंक्ति #%1 (डुप्लिकेट पंक्ति #%2)"
"We cannot retrieve the transparent payment method model object.","हम पारदर्शी भुगतान विधि मॉडल ऑब्जेक्ट प्राप्त नहीं कर सकता ।"
"General: Withdrawal from PayPal Account","जनरल: पेपैल खाते से निकासी"
"Mobile Payment (made via a mobile phone)","मोबाइल भुगतान (एक मोबाइल फोन के माध्यम से बनाया)"
"Payments Pro","भुगतान प्रो"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","जाँच &quot;मुझे याद है&quot; इस कंप्यूटर पर अपनी शॉपिंग कार्ट तक पहुंचने के लिए भले ही आप साइन इन न हों ।"
"Persist Recently Ordered Items","हाल ही में आदेश आइटम जारी रहती है"
"Are you sure you want to match this rule now?","आप सुनिश्चित करें कि आप इस अपलोड को रद्द करना चाहते हैं?"
quantity,मात्रा
"Customers by Orders Total","कुल ऑर्डर के अनुसार ग्राहक"
"By Customers",ग्राहक
Exception,अपवाद
Ok,"ठीक है"
Administrator,व्यवस्थापक
"Pending product review(s)","लंबित उत्पाद समीक्षा (s)"
"Review by","द्वारा समीक्षित"
"Reward Points","इनामी अंक"
"Reward Points History","रिवार्ड पॉइंट्स हिस्ट्री"
"Expired reward","पुरस्कृत किया गया"
Unlimited,असीमित
"No Data","कोई आकड़ा उपलब्ध नहीं है"
Balance,संतुलन
"Currency Amount","मुद्रा मूल्य"
"Reward Points Threshold","इनाम अंक थ्रेसहोल्ड"
"Reward Points Cap","रिवार्ड पॉइंट्स कैप"
"Delete Orphan Points","अनाथ अंक हटाएं"
"Update Reward Points Balance","अपडेट रिवार्ड पॉइंट्स बैलेंस"
"Update Points","पॉइंट अपडेट करें"
"Enter a negative number to subtract from the balance.","शेष राशि से घटाने के लिए एक ऋणात्मक संख्या दर्ज करें।"
"Reward Points Notifications","रिवार्ड पॉइंट्स नोटिफिकेशन"
"Subscribe for Balance Updates","बैलेंस अपडेट के लिए सदस्यता लें"
"Subscribe for Points Expiration Notifications","अंक समाप्ति की अधिसूचना के लिए सदस्यता लें"
"Reward Exchange Rates","विनिमय विनिमय दरें"
"Add New Rate","नई दर जोड़ें"
"Edit Reward Exchange Rate","इनाम विनिमय दर संपादित करें"
"New Reward Exchange Rate","नई इनाम विनिमय दर"
"Reward Exchange Rate Information","इनाम विनिमय दर की जानकारी"
Direction,दिशा
Rate,"मूल्यांकन करें"
"Use your reward points; %1 are available.","अपने इनाम बिंदुओं का उपयोग करें; %1 उपलब्ध हैं।"
"This applies only to registered users and may vary when a user is logged in.","यह केवल पंजीकृत उपयोगकर्ताओं पर लागू होता है और उपयोगकर्ता द्वारा लॉग इन करने पर भिन्न हो सकता है।"
"You removed the orphan points.","आपने अनाथ अंक निकाल दिए।"
"Manage Reward Exchange Rates","रिवॉर्ड एक्सचेंज दरों का प्रबंधन करें"
"You deleted the rate.","आपने दर को हटा दिया।"
"You saved the rate.","आपने रेट सेव कर लिया।"
"We can't save this rate right now.","हम अभी इस दर को नहीं बचा सकते हैं।"
"Please enter all rate information.","कृपया सभी दर जानकारी दर्ज करें।"
"Please enter a positive integer number in the left rate field.","कृपया बाईं दर क्षेत्र में एक सकारात्मक पूर्णांक संख्या दर्ज करें।"
"Please enter a positive number in the right-side rate field.","कृपया दाईं ओर के क्षेत्र में एक सकारात्मक संख्या दर्ज करें।"
"Please enter a positive integer number in the right-side rate field.","कृपया दाईं ओर के क्षेत्र में एक सकारात्मक पूर्णांक संख्या दर्ज करें।"
"Please enter a positive number in the left-side rate field.","कृपया बाईं ओर के क्षेत्र में एक सकारात्मक संख्या दर्ज करें।"
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","क्षमा करें, लेकिन एक ही वेबसाइट, ग्राहक समूह और दिशा या कवरिंग दर के लिए एक दर पहले से मौजूद है।"
"You saved the settings.","आपने सेटिंग्स सहेज ली हैं।"
"You unsubscribed.","आपने सदस्यता समाप्त कर ली।"
"You can't unsubscribed right now.","आप अभी सदस्यता समाप्त नहीं कर सकते।"
"%1 Reward points (%2)","%1 इनाम अंक (%2)"
"%1 Reward points","%1 इनाम अंक"
"Updated by moderator","मॉडरेटर द्वारा अपडेट किया गया"
"Refunded from order #%1","आदेश #%1 से वापस कर दिया गया"
"Points voided at order #%1 refund.","#%1 धनवापसी के क्रम में इंगित अंक"
"The invitation to %1 converted into a customer.","%1 का आमंत्रण ग्राहक में परिवर्तित हो गया।"
"The invitation to %1 converted into an order.","%1 का निमंत्रण एक आदेश में परिवर्तित हो गया।"
"Signed up for newsletter with email %1","ईमेल %1 के साथ न्यूज़लेटर के लिए साइन अप किया गया"
"Redeemed for order #%1","आदेश #%1 के लिए भुनाया गया"
"Earned points for order #%1","आदेश #%1 के लिए अर्जित अंक"
"Reverted from incomplete order #%1","अपूर्ण क्रम #%1 से उलट"
"Registered as customer","ग्राहक के रूप में पंजीकृत"
"For submitting a product review","उत्पाद समीक्षा प्रस्तुत करने के लिए"
"Earned promotion extra points from order #%1","क्रम #%1 से प्रचारित अतिरिक्त अंक अर्जित किए"
"%1 store reward points available (%2)","%1 स्टोर रिवार्ड पॉइंट उपलब्ध (%2)"
"%1 store reward points available","%1 स्टोर रिवार्ड पॉइंट उपलब्ध है"
"%1 was deducted because of refund.","धनवापसी के कारण %1 काटा गया।"
"The action ID you enter must be a number.","आपके द्वारा दर्ज की गई कार्रवाई आईडी एक संख्या होनी चाहिए।"
"You don't have enough reward points to pay for this purchase.","इस खरीदारी के लिए आपके पास पर्याप्त इनाम अंक नहीं हैं।"
"Points to Currency","मुद्रा को इंगित करता है"
"Currency to Points","मुद्रा से अंक"
"All Customer Groups","सभी ग्राहक समूह"
Dynamic,गतिशील
Each,"से प्रत्येक"
First,प्रथम
"Customer earned promotion extra %1.","ग्राहक ने पदोन्नति अतिरिक्त %1 अर्जित की।"
"The customer earned %1 for this order.","ग्राहक ने इस आदेश के लिए %1 अर्जित किया।"
"Reward Points Balance","रिवार्ड पॉइंट्स बैलेंस"
"upper boundary","ऊपरी सीमा"
"Refund Reward Points","धन वापसी अंक"
"Reward Points refunded to customer","ग्राहक को रिवार्ड पॉइंट्स वापस किए गए"
"Balance History","शेष इतिहास"
Amount,रकम
Points,अंक
Reason,कारण
"Expires on %1","%1 पर समाप्त हो रहा है"
"There is no balance history.","कोई संतुलन इतिहास नहीं है।"
"Reward points balance Information","इनाम अंक संतुलन जानकारी"
"Your balance is %1.","आपका संतुलन %1 है।"
"Current exchange rates:","वर्तमान विनिमय दरें:"
"%1 spent = %2 earned","%1 खर्च = %2 कमाया"
"Balance limit is %1.","संतुलन सीमा %1 है।"
"Maximum balance is reached","अधिकतम संतुलन हो गया है"
"Minimum Balance in order to redeem: %1.","रिडीम करने के लिए न्यूनतम बैलेंस:%1।"
"You need a higher balance to use your rewards points.","आपको अपने पुरस्कार बिंदुओं का उपयोग करने के लिए एक उच्च संतुलन की आवश्यकता है।"
"Each earned reward points award expires in %1 days.","प्रत्येक अर्जित इनाम अंक पुरस्कार%1 दिन में समाप्त हो जाता है।"
"Refer to reward points history to see when a specific record expires.","एक विशिष्ट रिकॉर्ड समाप्त होने पर देखने के लिए रिवॉर्ड पॉइंट्स हिस्ट्री को देखें।"
"Email Notification Settings","ईमेल अधिसूचना सेटिंग्स"
"Save Subscription Settings","सदस्यता सेटिंग्स सहेजें"
"Reward Points Balance Updated at %store_name","%store_name पर रिवार्ड पॉइंट्स बैलेंस अपडेटेड अपडेट"
"You have %points_balance points that may be used in our store:","आपके पास हमारे पॉइंट में उपयोग किए जाने वाले %अंक_बलेंस अंक हैं:"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","इन सूचनाओं से <a href=""%unsubscription_url""> सदस्यता समाप्त करें </a>।"
"Reward Points Expiry Warning at %store_name","%store_name पर रिवार्ड प्वॉइंट्स की समाप्ति की चेतावनी"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","आपके रिवार्ड पॉइंट्स के %points_expiring का उपयोग करने के लिए शेष %remaining_days दिन (s) शेष हैं।"
"After %remaining_days day(s) these points will expire.","%remaining_days (दिन) के बाद ये बिंदु समाप्त हो जाएंगे।"
"You have a total of %points_balance points that may be used in our store:","आपके पास हमारे स्टोर में उपयोग किए जाने वाले कुल %points_balance अंक हैं:"
"Reward points","इनामी अंक"
"Use reward points","रिवॉर्ड पॉइंट्स का इस्तेमाल करें"
"Your reward point was successfully applied","आपका इनाम बिंदु सफलतापूर्वक लागू किया गया था"
"Manage Reward Points Balances","रिवार्ड पॉइंट्स बैलेंस मैनेज करें"
"Can Spend Reward Points","इनाम अंक खर्च कर सकते हैं"
"Enable Reward Points Functionality","रिवॉर्ड पॉइंट्स फंक्शनलिटी इनेबल करें"
"Enable Reward Points Functionality on Storefront","स्टोर के सामने रिवार्ड पॉइंट्स फंक्शनलिटी इनेबल करें"
"Customers May See Reward Points History","ग्राहक पुरस्कार इतिहास को देख सकते हैं"
"Rewards Points Balance Redemption Threshold","रिवार्ड्स पॉइंट्स बैलेंस रिडेम्पशन थ्रेशोल्ड"
"An empty value disables this limitation.","एक खाली मान इस सीमा को अक्षम करता है।"
"Cap Reward Points Balance At","कैप रिवार्ड पॉइंट्स बैलेंस एट"
"Reward Points Expire in (days)","पुरस्कार अंक (दिनों में) समाप्त"
"Reward Points Expiry Calculation","रिवार्ड पॉइंट्स एक्सपायरी कैलकुलेशन"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""स्टेटिक"" समाप्ति की तारीख को ठीक से परिभाषित करता है जब संतुलन बढ़ता है। ""डायनामिक"" की समाप्ति की तारीख नहीं होती है, लेकिन एक की गणना तब होती है जब शेष राशि समाप्ति के लिए जाँच की जाती है।"
"Refund Reward Points Automatically","रिफंड रिवार्ड पॉइंट्स ऑटोमैटिकली"
"Deduct Reward Points from Refund Amount Automatically","स्वचालित रूप से धनवापसी राशि से अंक घटाएं"
"Landing Page","लैंडिंग पेज"
"Actions for Acquiring Reward Points by Customers","ग्राहकों द्वारा पुरस्कार प्राप्त करने के लिए कार्रवाई"
Purchase,"खरीद फरोख्त"
"Added for spent money according to reward exchange rates.","इनाम की विनिमय दरों के अनुसार खर्च किए गए पैसे के लिए जोड़ा गया।"
Registration,पंजीकरण
"Newsletter Signup","न्यूज़लेटर साइन अप"
"Only for customers who subscribe for the first time.","केवल उन ग्राहकों के लिए जो पहली बार सदस्यता लेते हैं।"
"Converting Invitation to Customer","ग्राहक को निमंत्रण देना"
"Invitation to Customer Conversions Quantity Limit","ग्राहक बातचीत के लिए निमंत्रण मात्रा सीमा"
"Converting Invitation to Order","आदेश के लिए आमंत्रण परिवर्तित करना"
"Invitation to Order Conversions Quantity Limit","आदेश बातचीत के लिए निमंत्रण मात्रा सीमा"
"Invitation Conversion to Order Reward","ऑर्डर रिवॉर्ड में निमंत्रण रूपांतरण"
"Review Submission","प्रस्तुत करने की समीक्षा करें"
"After approval by administrator.","प्रशासक द्वारा अनुमोदन के बाद।"
"Rewarded Reviews Submission Quantity Limit","रिवार्डेड रिव्यू सबमिशन क्वांटिटी लिमिट"
"Subscribe Customers by Default","ग्राहक डिफ़ॉल्ट रूप से सदस्यता लें"
"Balance Update Email","शेष अद्यतन ईमेल"
"Reward Points Expiry Warning Email","रिवार्ड पॉइंट्स एक्सपायरी वार्निंग ईमेल"
"Expiry Warning Before (days)","समय से पहले समाप्ति की चेतावनी (दिन)"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","समाप्ति जीवनकाल से अधिक कोई मूल्य या मूल्य दर्ज करना चेतावनी अधिसूचना को अक्षम करता है।"
"Reward Points Rates","रिवार्ड पॉइंट्स रेट"
"Amount Balance","राशि शेष"
Created,"बनाया था"
Expires,"समय-सीमा समाप्त"
"Add Reward Points","इनाम अंक जोड़ें"
"Check out now and earn %1 for this order.","अभी देखें और इस आदेश के लिए %1 कमाएँ।"
"Create an account on our site now and earn %1.","अब हमारी साइट पर एक खाता बनाएँ और %1 कमाएँ।"
"Subscribe to our newsletter now and earn %1.","अभी हमारे न्यूज़लेटर की सदस्यता लें और %1 कमाएँ।"
"Submit a review now and earn %1 after the review is approved.","अब समीक्षा सबमिट करें और समीक्षा स्वीकृत होने के बाद %1 अर्जित करें।"
"You can reward up to %1 new reviews(s).","आप %1 नई समीक्षाओं (ओं) को पुरस्कृत कर सकते हैं।"
Return,वापसी
"Grand Total (Purchased)","कुल योग (खरीदे गए)"
"Page not found","पृष्ठ नहीं मिला"
"""%1"" is longer than allowed.","""< div class ="" notranslate ""> 0 </div>"" की अनुमति से अधिक लंबा है ।"
"Partially Authorized","आंशिक रूप से अधिकृत"
"Partially Approved","आंशिक रूप से अनुमोदित"
"Partially Rejected","आंशिक रूप से अस्वीकृत"
Denied,निषेध
"Processed and Closed","संसाधित और बंद"
"Visible on Storefront","स्टोरफ़्रंट पर दृश्यमान"
"Placed on %created_at","< div class पर रखा = ""notranslate"" > 0 </div> reated_at"
"Credit Memos","क्रेडिट ज्ञापन"
Orders,आदेश
Invoices,चालान
"We can't get the order instance right now.","हमें अभी आदेश का उदाहरण नहीं मिल सकता है।"
"Create New Order","नया आदेश बनाएँ"
"Save Order Address","आदेश पता सहेजें"
Shipping,शिपिंग
Billing,बिलिंग
"Edit Order %1 %2 Address","आदेश %1 %2 पता संपादित करें"
"Order Address Information","आदेश का पता जानकारी"
"Please correct the parent block for this block.","कृपया इस ब्लॉक के लिए मूल ब्लॉक को सही करें।"
"Submit Comment","टिप्पणी भेजें"
"Submit Order","आदेश प्रस्तुत"
"Are you sure you want to cancel this order?","क्या आप वाकई इस आदेश को रद्द करना चाहते हैं?"
"Order Comment","आदेश टिप्पणी"
Coupons,कूपन
"Please select a customer","कृपया एक ग्राहक का चयन करें"
"Create New Customer","नया ग्राहक बनाएं"
"Edit Order #%1","आदेश संपादित करें #%1"
"Create New Order for %1 in %2","%2 में %1 के लिए नया ऑर्डर बनाएं"
"Create New Order in %1","%1 में नया आदेश बनाएँ"
"Create New Order for %1","%1 के लिए नया ऑर्डर बनाएं"
"Create New Order for New Customer","नए ग्राहक के लिए नया ऑर्डर बनाएं"
"Items Ordered","आइटम का आर्डर दिया है"
"This product is disabled.","यह उत्पाद अक्षम है।"
"Buy %1 for price %2","%1 को कीमत %2 के लिए खरीदें"
"Item ordered qty","आइटम का आदेश दिया मात्रा"
"%1 with %2 discount each","%2 छूट के साथ %1"
"%1 for %2","%2 के लिए %1"
"* - Enter custom price including tax","* - टैक्स सहित कस्टम मूल्य दर्ज करें"
"* - Enter custom price excluding tax","* - टैक्स को छोड़कर कस्टम मूल्य दर्ज करें"
"This product does not have any configurable options","इस उत्पाद का कोई विन्यास विकल्प नहीं है"
"Newsletter Subscription","न्यूज़लैटर की सदस्यता"
"Please select products","कृपया उत्पादों का चयन करें"
"Add Selected Product(s) to Order","ऑर्डर करने के लिए चयनित उत्पाद जोड़ें"
"Shipping Method","शिपिंग का तरीका"
"Update Changes","अपडेट अपडेट करें"
"Are you sure you want to delete all items from shopping cart?","क्या आप वाकई शॉपिंग कार्ट से सभी आइटम हटाना चाहते हैं?"
"Clear Shopping Cart","खरीदारी कार्ट साफ़ करें"
"Products in Comparison List","तुलना सूची में उत्पाद"
"Last Ordered Items","अंतिम आदेश दिया आइटम"
"Please select a store","कृपया एक स्टोर चुनें"
"Order Totals","आदेश देने वाले"
"Shipping Incl. Tax (%1)","नौवहन Incl। कर (%1)"
"Shipping Excl. Tax (%1)","शिपिंग एक्सेल। कर (%1)"
"New Credit Memo for Invoice #%1","चालान के लिए नया क्रेडिट मेमो #%1"
"New Credit Memo for Order #%1","आदेश #%1 के लिए नया क्रेडिट मेमो"
"Refund Shipping (Incl. Tax)","वापसी शिपिंग (Incl टैक्स)"
"Refund Shipping (Excl. Tax)","रिफंड शिपिंग (एक्सेल टैक्स)"
"Refund Shipping","वापसी शिपिंग"
"Update Qty's","अद्यतन मात्रा"
Refund,"धन की वापसी"
"Refund Offline","ऑफ़लाइन वापसी करें"
"Paid Amount","भरी गई राशि"
"Refund Amount","वापसी राशि"
"Shipping Amount","शिपिंग राशि"
"Shipping Refund","शिपिंग रिफंड"
"Order Grand Total","ऑर्डर ग्रैंड टोटल"
"Adjustment Refund","समायोजन वापसी"
"Adjustment Fee","समायोजन शुल्क"
"Send Email","ईमेल भेजें"
"Are you sure you want to send a credit memo email to customer?","क्या आप वाकई ग्राहक को एक क्रेडिट मेमो ईमेल भेजना चाहते हैं?"
Void,शून्य
Print,छाप
